,year,artists,duration_ms,name,popularity
18721,2015,"['Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Lin-Manuel Miranda', 'Leslie Odom Jr.']",115880,The Story of Tonight - Reprise,70
18723,2015,"['Daveed Diggs', 'Leslie Odom Jr.', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",236701,What'd I Miss,70
18724,2015,"['Christopher Jackson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",97050,History Has Its Eyes on You,70
18725,2015,['Daniel Caesar'],246972,Streetcar,71
18726,2015,['Jason Derulo'],207719,Want to Want Me,76
18727,2015,['KANA-BOON'],240133,シルエット,76
18728,2015,"['Anthony Ramos', 'Lin-Manuel Miranda', 'Jon Rua', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",106646,Ten Duel Commandments,70
18729,2015,"['$uicideBoy$', 'Pouya']",169320,$outh $ide $uicide,71
18730,2015,['One Direction'],230333,Perfect,77
18731,2015,['$uicideBoy$'],167680,My Flaws Burn Through My Skin Like Demonic Flames from Hell,71
18732,2015,"['Snakehips', 'Tinashe', 'Chance the Rapper']",229747,All My Friends (feat. Tinashe & Chance the Rapper),74
18733,2015,['Drake'],181933,Energy,71
18735,2015,['Little Mix'],211786,Black Magic,77
18736,2015,['KYLE'],232368,Don't Wanna Fall In Love,70
18738,2015,['The Oh Hellos'],165680,"Soldier, Poet, King",70
18742,2015,"['A$AP Rocky', 'Rod Stewart', 'Miguel', 'Mark Ronson']",260987,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",74
18743,2015,['Melanie Martinez'],231853,Dollhouse,72
18744,2015,"['Pia Mia', 'Chris Brown', 'Tyga']",207747,Do It Again,76
18748,2015,['Galantis'],227074,Runaway (U & I),75
18751,2015,"['Jack Ü', 'Skrillex', 'Diplo', 'Justin Bieber']",250286,Where Are Ü Now (with Justin Bieber),75
18754,2015,['Disturbed'],248467,The Sound of Silence,73
18757,2015,['Ruth B.'],207973,Superficial Love,72
18758,2015,['One Direction'],230320,If I Could Fly,74
18759,2015,['Drake'],275840,Know Yourself,72
18760,2015,['Halsey'],214762,Control,71
18761,2015,['One Direction'],200533,What a Feeling,73
18762,2015,['Avicii'],230613,Waiting For Love,79
18768,2015,['The Weeknd'],235653,In The Night,72
18769,2015,['Petit Biscuit'],237793,Sunset Lover,76
18773,2015,['Surf Curse'],147036,Freaks,70
18775,2015,['One Direction'],187427,History,76
18776,2015,['Demi Lovato'],191308,Stone Cold,75
18778,2015,['Coldplay'],258267,Hymn for the Weekend,78
18781,2015,['Joel Adams'],210580,Please Don't Go,75
18785,2015,['Alan Walker'],212627,Faded,75
18786,2015,['Leon Bridges'],240200,River,70
18787,2015,['Bring Me The Horizon'],191520,Throne,74
18790,2015,['Chase Atlantic'],230011,Friends,72
18799,2015,['Melanie Martinez'],204086,Pity Party,70
18805,2015,['Meghan Trainor'],184227,Dear Future Husband,73
18806,2016,['James Arthur'],208827,Train Wreck,88
18807,2016,['Post Malone'],223347,I Fall Apart,83
18808,2016,['Ricky Montgomery'],216880,Mr Loverman,82
18809,2016,['James Arthur'],211467,Say You Won't Let Go,86
18810,2016,['Childish Gambino'],326933,Redbone,82
18811,2016,"['Post Malone', 'Quavo']",220293,Congratulations,82
18812,2016,['Post Malone'],257267,Feeling Whitney,80
18813,2016,['The Lumineers'],160097,Ophelia,74
18814,2016,"['The Weeknd', 'Daft Punk']",230453,Starboy,83
18815,2016,['Frank Ocean'],307151,Nights,79
18816,2016,"['The Chainsmokers', 'Halsey']",244960,Closer,84
18817,2016,['Frank Ocean'],249191,Ivy,78
18818,2016,['Frank Ocean'],184516,Pink + White,79
18819,2016,['Ricky Montgomery'],249587,Line Without a Hook,78
